date_vic_wknd,cases_vic_wknd,ds_vic_wknd,us_vic_wknd,date_nsw_wknd,cases_nsw_wknd,ds_nsw_wknd,us_nsw_wknd
2020-05-10,5,211145882.190406,22355329.346237,2020-05-10,1,199489938.056525,20831476.4502937
2020-05-11,16,NaN,NaN,2020-05-11,0,NaN,NaN
2020-05-12,7,NaN,NaN,2020-05-12,5,NaN,NaN
2020-05-13,9,NaN,NaN,2020-05-13,4,NaN,NaN
2020-05-14,19,NaN,NaN,2020-05-14,3,NaN,NaN
2020-05-15,13,NaN,NaN,2020-05-15,2,NaN,NaN
2020-05-16,5,194417109.163181,19777210.651298,2020-05-16,0,205903584.018432,19812851.8763658
2020-05-17,6,198186912.194497,19298888.4909072,2020-05-17,1,203286464.971513,19606929.3483674
2020-05-18,7,NaN,NaN,2020-05-18,2,NaN,NaN
2020-05-19,5,NaN,NaN,2020-05-19,4,NaN,NaN
2020-05-20,5,NaN,NaN,2020-05-20,1,NaN,NaN
2020-05-21,10,NaN,NaN,2020-05-21,3,NaN,NaN
2020-05-22,9,NaN,NaN,2020-05-22,0,NaN,NaN
2020-05-23,2,201933806.544575,19767757.2972451,2020-05-23,1,202673313.188886,19661091.988899
2020-05-24,2,199154982.850511,19321999.3651863,2020-05-24,1,206682909.519247,20055932.6497972
2020-05-25,5,NaN,NaN,2020-05-25,2,NaN,NaN
2020-05-26,8,NaN,NaN,2020-05-26,0,NaN,NaN
2020-05-27,10,NaN,NaN,2020-05-27,1,NaN,NaN
2020-05-28,6,NaN,NaN,2020-05-28,2,NaN,NaN
2020-05-29,8,NaN,NaN,2020-05-29,1,NaN,NaN
2020-05-30,8,191061988.357685,19257314.4910888,2020-05-30,2,193975244.364928,18942108.3057348
2020-05-31,4,201156366.890458,19138927.0371423,2020-05-31,5,203718635.07905,19154158.1943483
2020-06-01,9,NaN,NaN,2020-06-01,4,NaN,NaN
2020-06-02,7,NaN,NaN,2020-06-02,1,NaN,NaN
2020-06-03,8,NaN,NaN,2020-06-03,2,NaN,NaN
2020-06-04,3,NaN,NaN,2020-06-04,3,NaN,NaN
2020-06-05,1,NaN,NaN,2020-06-05,0,NaN,NaN
2020-06-06,4,187595876.635771,18148564.8961715,2020-06-06,1,182671795.213314,17813001.8400384
2020-06-07,2,191526342.643805,17955314.6868191,2020-06-07,3,194777316.554222,18135716.2475771
2020-06-08,0,NaN,NaN,2020-06-08,1,NaN,NaN
2020-06-09,4,NaN,NaN,2020-06-09,3,NaN,NaN
2020-06-10,7,NaN,NaN,2020-06-10,0,NaN,NaN
2020-06-11,5,NaN,NaN,2020-06-11,3,NaN,NaN
2020-06-12,8,NaN,NaN,2020-06-12,3,NaN,NaN
2020-06-13,10,221352157.064249,19653014.0402361,2020-06-13,9,211471385.120518,18929576.3427516
2020-06-14,12,216973913.971852,19256284.5470538,2020-06-14,6,224354162.164608,19632569.7949516
2020-06-15,9,NaN,NaN,2020-06-15,0,NaN,NaN
2020-06-16,20,NaN,NaN,2020-06-16,0,NaN,NaN
2020-06-17,18,NaN,NaN,2020-06-17,2,NaN,NaN
2020-06-18,12,NaN,NaN,2020-06-18,7,NaN,NaN
2020-06-19,25,NaN,NaN,2020-06-19,1,NaN,NaN
2020-06-20,17,221031967.670919,19960899.7468428,2020-06-20,6,210697807.869248,18543871.555518
2020-06-21,13,229562403.993599,19679862.3118553,2020-06-21,1,236793068.071476,19818671.9162489
2020-06-22,17,NaN,NaN,2020-06-22,1,NaN,NaN
2020-06-23,18,NaN,NaN,2020-06-23,10,NaN,NaN
2020-06-24,33,NaN,NaN,2020-06-24,4,NaN,NaN
2020-06-25,28,NaN,NaN,2020-06-25,6,NaN,NaN
2020-06-26,40,NaN,NaN,2020-06-26,5,NaN,NaN
2020-06-27,47,211669101.819219,18851056.1703878,2020-06-27,10,208971712.597251,18365214.0143425
2020-06-28,69,213979605.340757,18792122.1762143,2020-06-28,3,215085698.843873,18795952.8824041
2020-06-29,61,NaN,NaN,2020-06-29,6,NaN,NaN
2020-06-30,76,NaN,NaN,2020-06-30,11,NaN,NaN
2020-07-01,73,NaN,NaN,2020-07-01,6,NaN,NaN
2020-07-02,62,NaN,NaN,2020-07-02,5,NaN,NaN
2020-07-03,100,NaN,NaN,2020-07-03,8,NaN,NaN
2020-07-04,68,215743862.449197,18575016.8545473,2020-07-04,12,205208194.836226,18075728.0368027
2020-07-05,98,220432108.736158,18635299.5717107,2020-07-05,8,208768641.69339,17966996.8226103
2020-07-06,168,NaN,NaN,2020-07-06,13,NaN,NaN
2020-07-07,122,NaN,NaN,2020-07-07,6,NaN,NaN
2020-07-08,149,NaN,NaN,2020-07-08,13,NaN,NaN
2020-07-09,143,NaN,NaN,2020-07-09,9,NaN,NaN
2020-07-10,290,NaN,NaN,2020-07-10,8,NaN,NaN
2020-07-11,256,245999088.391161,20706188.078161,2020-07-11,2,218384465.795501,18108823.9185967
2020-07-12,167,246294929.030932,20595326.4469993,2020-07-12,15,214647188.42299,17865852.5388705
2020-07-13,248,NaN,NaN,2020-07-13,17,NaN,NaN
2020-07-14,218,NaN,NaN,2020-07-14,10,NaN,NaN
2020-07-15,295,NaN,NaN,2020-07-15,9,NaN,NaN
2020-07-16,379,NaN,NaN,2020-07-16,9,NaN,NaN
2020-07-17,211,NaN,NaN,2020-07-17,13,NaN,NaN
2020-07-18,337,238510144.507082,21090045.9147792,2020-07-18,17,200535554.011647,17165771.9769328
2020-07-19,262,243429932.263622,20935400.2261932,2020-07-19,20,209619339.587205,17646444.3686996
2020-07-20,341,NaN,NaN,2020-07-20,14,NaN,NaN
2020-07-21,436,NaN,NaN,2020-07-21,14,NaN,NaN
2020-07-22,374,NaN,NaN,2020-07-22,16,NaN,NaN
2020-07-23,287,NaN,NaN,2020-07-23,7,NaN,NaN
2020-07-24,333,NaN,NaN,2020-07-24,18,NaN,NaN
2020-07-25,408,244698896.264037,21580838.261466,2020-07-25,19,219240755.560373,18126139.960506
2020-07-26,492,254380501.10305,21647577.243476,2020-07-26,8,271226805.69821,20755422.9738157
2020-07-27,358,NaN,NaN,2020-07-27,15,NaN,NaN
2020-07-28,274,NaN,NaN,2020-07-28,22,NaN,NaN
2020-07-29,626,NaN,NaN,2020-07-29,15,NaN,NaN
2020-07-30,549,NaN,NaN,2020-07-30,22,NaN,NaN
2020-07-31,368,NaN,NaN,2020-07-31,15,NaN,NaN
2020-08-01,598,245150473.066142,21952847.7541121,2020-08-01,14,208884187.443726,18002082.9460485
2020-08-02,352,208132042.554231,18451068.5637266,2020-08-02,11,192490871.736274,16253007.2248564
2020-08-03,404,NaN,NaN,2020-08-03,13,NaN,NaN
2020-08-04,687,NaN,NaN,2020-08-04,9,NaN,NaN
2020-08-05,444,NaN,NaN,2020-08-05,13,NaN,NaN
2020-08-06,421,NaN,NaN,2020-08-06,11,NaN,NaN
2020-08-07,455,NaN,NaN,2020-08-07,8,NaN,NaN
2020-08-08,374,286326266.002199,24982202.2642142,2020-08-08,14,242489465.906506,19767686.3317718
2020-08-09,310,267050827.070731,23533057.8476085,2020-08-09,13,242213000.719639,20227451.9935807
2020-08-10,321,NaN,NaN,2020-08-10,22,NaN,NaN
2020-08-11,400,NaN,NaN,2020-08-11,15,NaN,NaN
2020-08-12,256,NaN,NaN,2020-08-12,10,NaN,NaN
2020-08-13,360,NaN,NaN,2020-08-13,14,NaN,NaN
2020-08-14,301,NaN,NaN,2020-08-14,7,NaN,NaN
2020-08-15,267,247056933.577856,23572306.5793894,2020-08-15,6,213971002.559344,18700067.408446
2020-08-16,266,288269145.0264,23951540.126324,2020-08-16,5,238947542.182383,19565801.117724
2020-08-17,218,NaN,NaN,2020-08-17,3,NaN,NaN
2020-08-18,208,NaN,NaN,2020-08-18,8,NaN,NaN
2020-08-19,231,NaN,NaN,2020-08-19,2,NaN,NaN
2020-08-20,170,NaN,NaN,2020-08-20,5,NaN,NaN
2020-08-21,173,NaN,NaN,2020-08-21,7,NaN,NaN
2020-08-22,202,284144515.780723,25365980.2069356,2020-08-22,2,225365606.743918,19160908.1582537
2020-08-23,109,276517990.202984,24176152.1893584,2020-08-23,3,229768099.628128,19554803.5161099
2020-08-24,146,NaN,NaN,2020-08-24,4,NaN,NaN
2020-08-25,142,NaN,NaN,2020-08-25,6,NaN,NaN
2020-08-26,110,NaN,NaN,2020-08-26,12,NaN,NaN
2020-08-27,111,NaN,NaN,2020-08-27,15,NaN,NaN
2020-08-28,90,NaN,NaN,2020-08-28,10,NaN,NaN
2020-08-29,108,221298163.68149,20079315.3510047,2020-08-29,7,210607773.821212,19172749.8057206
2020-08-30,71,284767942.512247,25160460.7092196,2020-08-30,11,234318601.261716,20154759.4053183
2020-08-31,63,NaN,NaN,2020-08-31,12,NaN,NaN
