date,cases
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,5
2020-12-12,1
2020-12-13,1
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,1
2020-12-18,2
2020-12-19,2
2020-12-20,1
2020-12-21,3
2020-12-22,1
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,1
2020-12-27,2
2020-12-28,0
2020-12-29,1
2020-12-30,3
2020-12-31,7
2021-01-01,12
2021-01-02,3
2021-01-03,3
2021-01-04,4
2021-01-05,3
2021-01-06,0
2021-01-07,1
2021-01-08,1
2021-01-09,6
2021-01-10,1
2021-01-11,0
2021-01-12,3
2021-01-13,0
2021-01-14,2
2021-01-15,3
2021-01-16,7
2021-01-17,4
